ts,learner_id,lo_id,action_id,context_json,policy,propensity,reward
2025-07-16T12:33:16,L000,LO19,C135,"{""p_mastery"": 0.1271223226491257, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 7}",sim_linucb,0.25,0.766
2025-07-16T12:42:16,L000,LO19,C135,"{""p_mastery"": 0.129231959994191, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 7}",sim_linucb,0.25,0.587
2025-07-16T12:52:12,L000,LO27,C143,"{""p_mastery"": 0.35547549337664625, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 4}",sim_linucb,0.25,0.551
2025-07-16T13:35:05,L000,LO02,C120,"{""p_mastery"": 0.34309250508668504, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 4}",sim_linucb,0.25,0.32
2025-07-16T13:39:22,L000,LO27,C174,"{""p_mastery"": 0.3706633498390259, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 3}",sim_linucb,0.25,0.64
2025-07-16T14:14:25,L000,LO19,C048,"{""p_mastery"": 0.15265838638363882, ""fail_streak"": 3, ""pref"": ""video"", ""duration"": 11}",sim_linucb,0.25,0.497
2025-08-01T09:50:32,L001,LO07,C087,"{""p_mastery"": 0.3037460176499503, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 8}",sim_linucb,0.25,0.257
2025-08-01T11:00:14,L001,LO29,C164,"{""p_mastery"": 0.2496638637506484, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 4}",sim_linucb,0.25,0.674
2025-08-01T11:18:13,L001,LO05,C149,"{""p_mastery"": 0.15494910999971612, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 7}",sim_linucb,0.25,0.628
2025-07-17T11:32:09,L002,LO04,C079,"{""p_mastery"": 0.2232583119126921, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 2}",sim_linucb,0.25,0.473
2025-07-17T11:41:11,L002,LO06,C029,"{""p_mastery"": 0.32445527379838485, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 8}",sim_linucb,0.25,0.657
2025-07-17T12:22:59,L002,LO10,C128,"{""p_mastery"": 0.3676441544474686, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 2}",sim_linucb,0.25,0.22
2025-07-17T12:28:05,L002,LO16,C147,"{""p_mastery"": 0.36129130945816174, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 4}",sim_linucb,0.25,0.695
2025-07-17T12:51:15,L002,LO28,C008,"{""p_mastery"": 0.34863111216593634, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 9}",sim_linucb,0.25,0.619
2025-07-17T13:10:18,L002,LO29,C022,"{""p_mastery"": 0.3716768855865337, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 3}",sim_linucb,0.25,0.526
2025-07-17T13:33:09,L002,LO12,C122,"{""p_mastery"": 0.4221060074389777, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 4}",sim_linucb,0.25,0.48
2025-07-17T13:39:53,L002,LO21,C080,"{""p_mastery"": 0.25932558592409666, ""fail_streak"": 3, ""pref"": ""ppt"", ""duration"": 6}",sim_linucb,0.25,0.729
2025-08-06T10:40:39,L003,LO18,C169,"{""p_mastery"": 0.2740287171125776, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 6}",sim_linucb,0.25,0.363
2025-08-06T11:15:09,L003,LO28,C156,"{""p_mastery"": 0.2522670642347273, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 5}",sim_linucb,0.25,0.722
2025-08-06T11:30:42,L003,LO16,C034,"{""p_mastery"": 0.25403935744884065, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 6}",sim_linucb,0.25,0.588
2025-08-06T11:41:08,L003,LO28,C033,"{""p_mastery"": 0.23583286529878034, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 2}",sim_linucb,0.25,0.253
2025-08-06T11:44:03,L003,LO12,C035,"{""p_mastery"": 0.24358638073703046, ""fail_streak"": 3, ""pref"": ""text"", ""duration"": 4}",sim_linucb,0.25,0.6
2025-08-03T13:31:15,L004,LO20,C131,"{""p_mastery"": 0.27241257561082366, ""fail_streak"": 3, ""pref"": ""blog"", ""duration"": 6}",sim_linucb,0.25,0.78
2025-08-03T13:46:43,L004,LO06,C003,"{""p_mastery"": 0.2593074304175124, ""fail_streak"": 3, ""pref"": ""blog"", ""duration"": 3}",sim_linucb,0.25,0.56
